site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,29.46741944,116.6451222,28,6,373,127
2,29.01164167,116.6422833,28,6,481,237
3,29.12755833,116.5612694,28,6,436,209
4,28.61323056,116.4501361,28,6,534,332
5,28.68159722,116.4612167,28,6,521,316
6,28.61115278,116.4471611,28,6,534,333
7,28.82416111,116.4363528,28,6,482,282
8,28.88801389,116.514125,28,6,483,266
9,29.05591667,116.550125,28,6,451,226
10,29.13203611,116.585375,28,6,440,208
id,Date,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,sur_refl_qc_500m,sur_refl_szen,sur_refl_vzen,sur_refl_raz,sur_refl_state_500m,sur_refl_day_of_year,actual_date
1,2003/03/06,3980,200,105,67,1073741824,-3382,1125,1749,2175,865,474,2143,984,2003/03/08
1,2003/03/14,3930,200,5137,80,1073741824,-3804,1504,2381,2957,1006,512,2932,1093,2003/03/21
1,2003/03/22,3470,136,2527,85,1073741824,-4019,1686,2411,2702,1011,583,2592,1192,2003/03/26
1,2003/03/30,2633,204,4352,95,1073741824,13120,1027,1648,1885,785,434,2010,930,2003/04/05
1,2003/04/07,2796,1033,48,99,1073741824,2517,2423,3234,3443,2599,2497,3519,2530,2003/04/09
1,2003/04/15,2476,136,1263,106,1073741824,13946,1053,1660,2049,867,505,2151,925,2003/04/16
1,2003/04/23,1890,136,3443,120,1073741824,14201,903,1521,1968,718,380,2006,839,2003/04/30
1,2003/05/01,2027,136,1208,122,1073741824,14898,1318,2041,2482,973,544,2585,1099,2003/05/02
1,2003/05/09,1770,200,2439,129,1073741824,14982,1278,1923,2361,894,460,2494,990,2003/05/09
1,2003/05/17,1932,204,1304,140,1073741824,-1543,1171,1957,2489,778,358,2583,798,2003/05/20
1,2003/05/25,2235,136,4387,151,1073741824,-766,1604,2440,3101,962,490,3099,1050,2003/05/31
1,2003/06/02,1595,200,1327,154,1075576832,16469,1106,1962,3328,664,271,2691,677,2003/06/03
1,2003/06/10,1976,200,2482,165,1075576835,-431,1116,2176,-28672,792,350,3208,709,2003/06/14
1,2003/06/18,1609,200,1308,170,1073741824,17210,1576,2301,2948,921,442,2935,937,2003/06/19
1,2003/06/26,2057,72,2518,181,1075576832,-348,1090,2213,6443,942,443,3352,846,2003/06/30
