1,No Data
2,No Data
3,No Data
4,No Data
5,No Data
6,No Data
7,No Data
8,No Data
9,No Data
10,No Data
11,No Data
id,Date,Daily daytime 1km grid Land-surface Temperature,Quality control for daytime LST and emissivity,Time of daytime Land-surface Temperature observation,View zenith angle of daytime Land-surface Temperature,Daily nighttime 1km grid Land-surface Temperature,Quality control for nighttime LST and emissivity,Time of nighttime Land-surface Temperature observation,View zenith angle of nighttime Land-surface Temperature,Band 31 emissivity,Band 32 emissivity,day clear-sky coverage,night clear-sky coverage,actual_date
1,2000/09/15,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/09/16,15199,81,113,88,14519,81,223,47,240,243,2000,1995,N\A
1,2000/09/17,15218,81,103,3,14736,81,230,119,240,243,4000,4000,N\A
1,2000/09/18,15549,81,110,63,14594,81,221,26,240,243,1961,1946,N\A
1,2000/09/19,15282,81,118,125,14779,17,228,105,240,243,4000,1978,N\A
1,2000/09/20,15326,81,108,39,0,2,255,255,240,243,1993,0,N\A
1,2000/09/21,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/09/22,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/09/23,15242,81,114,98,14615,145,224,59,240,243,3344,1695,N\A
1,2000/09/24,0,2,255,255,14692,145,231,124,240,243,0,4000,N\A
1,2000/09/25,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/09/26,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/09/27,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/09/28,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/09/29,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/09/30,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/10/01,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/10/02,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/10/03,0,2,255,255,14606,81,230,118,240,243,0,2000,N\A
1,2000/10/04,15248,81,110,62,0,2,255,255,240,243,1986,0,N\A
1,2000/10/05,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/10/06,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/10/07,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/10/08,0,2,255,255,14660,81,216,2,240,243,0,2000,N\A
1,2000/10/09,15236,17,113,97,14646,17,223,59,240,243,2000,1868,N\A
1,2000/10/10,0,2,255,255,14706,81,231,124,240,243,0,4000,N\A
1,2000/10/11,15361,81,111,75,0,2,255,255,240,243,2000,0,N\A
1,2000/10/12,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/10/13,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/10/14,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/10/15,14936,81,107,28,0,2,255,255,240,243,420,0,N\A
1,2000/10/16,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/10/17,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/10/18,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/10/19,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/10/20,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/10/21,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/10/22,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/10/23,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/10/24,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/10/25,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/10/26,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/10/28,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/10/29,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/10/30,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/10/31,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/11/01,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/11/02,14720,81,105,13,14248,81,232,128,240,243,49,2954,N\A
1,2000/11/03,14802,81,112,86,14370,81,222,46,240,243,1996,2000,N\A
1,2000/11/04,0,2,255,255,14382,81,229,118,240,243,0,2000,N\A
1,2000/11/05,0,2,255,255,14421,81,220,25,240,243,0,1965,N\A
1,2000/11/06,0,2,255,255,14529,81,227,104,240,243,0,2000,N\A
1,2000/11/07,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/11/08,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/11/09,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/11/10,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/11/11,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/11/12,0,2,255,255,13916,17,221,35,240,243,0,1988,N\A
1,2000/11/13,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/11/14,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/11/15,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/11/16,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/11/17,0,2,255,255,13942,81,224,71,240,243,0,2000,N\A
1,2000/11/18,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/11/19,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/11/20,0,2,255,255,13909,81,229,118,240,243,0,4000,N\A
1,2000/11/21,14350,81,110,62,0,2,255,255,240,243,580,0,N\A
1,2000/11/22,0,2,255,255,14090,81,227,104,240,243,0,2000,N\A
