site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
7,2010/05/17,445,3559,4096,N\A
7,2010/05/25,5552,6870,4096,N\A
7,2010/06/02,284,3894,4096,N\A
7,2010/06/10,484,3695,4096,N\A
7,2010/06/18,692,4011,4096,N\A
7,2010/06/26,708,2674,4096,N\A
7,2010/07/04,297,3313,4096,N\A
7,2010/07/12,373,3506,4096,N\A
7,2010/07/20,1579,4534,4096,N\A
7,2010/07/28,411,3828,4096,N\A
7,2010/08/05,2656,3689,4096,N\A
7,2010/08/13,188,2984,4096,N\A
7,2010/08/21,934,3287,4096,N\A
7,2010/08/29,3329,4503,4096,N\A
7,2010/09/06,258,3129,4096,N\A
7,2010/09/14,1381,3490,4096,N\A
7,2010/09/22,410,4074,4096,N\A
7,2010/09/30,3412,4254,4096,N\A
7,2010/10/08,2533,3619,4096,N\A
7,2010/10/16,287,3457,4096,N\A
7,2010/10/24,266,3186,4096,N\A
7,2010/11/01,303,3405,4096,N\A
7,2010/11/09,425,3576,4096,N\A
7,2010/11/17,261,3299,4096,N\A
7,2010/11/25,286,2704,4096,N\A
7,2010/12/03,402,3181,4096,N\A
7,2010/12/11,300,3440,4096,N\A
7,2010/12/19,373,3532,4096,N\A
7,2010/12/27,297,2923,4096,N\A
8,2010/01/01,663,2449,4096,N\A
8,2010/01/09,1671,2925,4096,N\A
8,2010/01/17,758,1761,4096,N\A
8,2010/01/25,304,2076,4096,N\A
8,2010/02/02,595,2708,4096,N\A
8,2010/02/10,546,2124,4096,N\A
8,2010/02/18,758,2454,4096,N\A
8,2010/02/26,419,2778,4096,N\A
8,2010/03/06,267,4462,4096,N\A
8,2010/03/14,293,3071,4096,N\A
8,2010/03/22,338,3594,4096,N\A
8,2010/03/30,352,3295,4096,N\A
8,2010/04/07,404,3458,4096,N\A
8,2010/04/15,276,3378,4096,N\A
8,2010/04/23,845,2773,4096,N\A
8,2010/05/01,323,4126,4096,N\A
8,2010/05/09,341,4641,4096,N\A
8,2010/05/17,222,3283,4096,N\A
8,2010/05/25,681,3632,4096,N\A
8,2010/06/02,1034,3563,4096,N\A
8,2010/06/10,339,4444,4096,N\A
8,2010/06/18,1267,3500,4096,N\A
8,2010/06/26,866,2431,4096,N\A
8,2010/07/04,285,3952,4096,N\A
8,2010/07/12,285,3844,4096,N\A
8,2010/07/20,484,3201,4096,N\A
8,2010/07/28,381,4297,4096,N\A
8,2010/08/05,170,3078,4096,N\A
8,2010/08/13,285,4775,4096,N\A
8,2010/08/21,1069,3075,4096,N\A
8,2010/08/29,2837,4801,4096,N\A
8,2010/09/06,228,3753,4096,N\A
8,2010/09/14,231,2241,4096,N\A
8,2010/09/22,1020,2566,4096,N\A
